ym	open_time	pnl_15686	pnl_15687	delta	change_type	close_type_15686	close_type_15687	sl_source_15686	sl_source_15687
2024-10	2024-10-03 16:00:00	24.38	0.00	-24.38	removed_from_15687	Signal_Kline_Stop_Loss	NULL	Engulfing_Volume_Confirmed	NULL
2024-10	2024-10-07 08:00:00	0.00	-16.12	-16.12	added_in_15687	NULL	Signal_Kline_Stop_Loss	NULL	Engulfing_Volume_Confirmed
2024-10	2024-10-10 16:00:00	48.72	47.99	-0.72	shared_changed	??????	??????	NULL	NULL
2024-10	2024-10-07 20:00:00	18.49	18.21	-0.28	shared_changed	????????	????????	NULL	NULL
2024-10	2024-10-20 20:00:00	12.23	12.05	-0.18	shared_changed	??????????	??????????	NULL	NULL
2024-10	2024-10-27 08:00:00	10.51	10.35	-0.16	shared_changed	??????????	??????????	NULL	NULL
2024-10	2024-10-18 20:00:00	7.76	7.65	-0.12	shared_changed	??????????	??????????	NULL	NULL
2024-10	2024-10-07 16:00:00	-1.00	-0.99	0.01	shared_changed	??????	??????	NULL	NULL
2024-10	2024-10-23 20:00:00	-1.78	-1.76	0.03	shared_changed	????????	????????	NULL	NULL
2024-10	2024-10-31 00:00:00	-7.69	-7.58	0.11	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Rejected	Engulfing_Volume_Rejected
2024-10	2024-10-28 20:00:00	-7.86	-7.75	0.12	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Confirmed	Engulfing_Volume_Confirmed
2024-10	2024-10-17 08:00:00	-8.80	-8.67	0.13	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	LargeEntity_Retracement	LargeEntity_Retracement
2024-10	2024-10-17 20:00:00	-9.56	-9.42	0.14	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	LargeEntity_Retracement	LargeEntity_Retracement
2024-10	2024-10-28 08:00:00	-9.21	-9.07	0.14	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Rejected	Engulfing_Volume_Rejected
2024-10	2024-10-18 08:00:00	-12.45	-12.27	0.19	shared_changed	????????	????????	NULL	NULL
2024-10	2024-10-21 04:00:00	-12.93	-12.74	0.19	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Confirmed	Engulfing_Volume_Confirmed
2024-10	2024-10-25 16:00:00	-17.50	-17.24	0.26	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	LargeEntity_Retracement	LargeEntity_Retracement
2024-10	2024-10-15 20:00:00	-20.45	-20.15	0.30	shared_changed	????????	????????	NULL	NULL
2024-10	2024-10-01 20:00:00	47.36	49.50	2.14	shared_changed	atr???????	atr???????	NULL	NULL
2025-04	2025-04-01 20:00:00	0.00	-38.92	-38.92	added_in_15687	NULL	??????	NULL	NULL
2025-04	2025-04-06 04:00:00	0.00	-12.61	-12.61	added_in_15687	NULL	Signal_Kline_Stop_Loss	NULL	Engulfing_Volume_Rejected
2025-04	2025-04-09 12:00:00	89.13	86.51	-2.61	shared_changed	??????	??????	NULL	NULL
2025-04	2025-04-14 20:00:00	23.70	23.01	-0.70	shared_changed	????????	????????	NULL	NULL
2025-04	2025-04-27 08:00:00	17.83	17.30	-0.52	shared_changed	??????????	??????????	NULL	NULL
2025-04	2025-04-18 12:00:00	7.58	7.36	-0.22	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Rejected	Engulfing_Volume_Rejected
2025-04	2025-04-18 00:00:00	-2.62	-2.54	0.08	shared_changed	????????	????????	NULL	NULL
2025-04	2025-04-17 00:00:00	-5.54	-5.38	0.16	shared_changed	??????	??????	NULL	NULL
2025-04	2025-04-26 00:00:00	-10.31	-10.00	0.30	shared_changed	??????	??????	NULL	NULL
2025-04	2025-04-09 00:00:00	-11.14	-10.81	0.33	shared_changed	????????	????????	NULL	NULL
2025-04	2025-04-30 20:00:00	-28.68	-27.84	0.84	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Confirmed	Engulfing_Volume_Confirmed
2025-04	2025-04-28 20:00:00	-30.80	-29.89	0.90	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Confirmed	Engulfing_Volume_Confirmed
2025-04	2025-04-26 16:00:00	-41.63	-40.41	1.22	shared_changed	??????	??????	NULL	NULL
2025-12	2025-12-26 08:00:00	0.00	-58.07	-58.07	added_in_15687	NULL	Signal_Kline_Stop_Loss	NULL	Engulfing_Volume_Confirmed
2025-12	2025-12-19 00:00:00	-110.52	-114.37	-3.85	shared_changed	??????	??????	NULL	NULL
2025-12	2025-12-12 20:00:00	-39.44	-40.81	-1.37	shared_changed	????????	????????	NULL	NULL
2025-12	2025-12-08 08:00:00	-36.97	-38.26	-1.29	shared_changed	??????	??????	NULL	NULL
2025-12	2025-12-15 04:00:00	-26.87	-27.80	-0.94	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Rejected	Engulfing_Volume_Rejected
2025-12	2025-12-14 04:00:00	-26.70	-27.64	-0.93	shared_changed	??????	??????	NULL	NULL
2025-12	2025-12-14 20:00:00	-21.82	-22.58	-0.76	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	KlineHammer_Volume_Confirmed	KlineHammer_Volume_Confirmed
2025-12	2025-12-06 00:00:00	8.20	8.48	0.29	shared_changed	????????	????????	NULL	NULL
2025-12	2025-12-01 00:00:00	9.08	9.40	0.32	shared_changed	??????????	??????????	NULL	NULL
2025-12	2025-12-21 16:00:00	17.89	18.51	0.62	shared_changed	??????????	??????????	NULL	NULL
2025-12	2025-12-17 16:00:00	20.43	21.14	0.71	shared_changed	??????????	??????????	NULL	NULL
2025-12	2025-12-26 20:00:00	35.06	35.80	0.73	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Confirmed	Engulfing_Volume_Confirmed
2025-12	2025-12-15 08:00:00	45.36	46.94	1.58	shared_changed	??????????	??????????	NULL	NULL
2025-12	2025-12-01 04:00:00	55.57	57.51	1.94	shared_changed	??????????	??????????	NULL	NULL
2025-12	2025-12-15 20:00:00	69.49	71.91	2.42	shared_changed	????????	????????	NULL	NULL
2025-12	2025-12-07 20:00:00	76.38	79.04	2.66	shared_changed	??????????	??????????	NULL	NULL
2025-12	2025-12-24 20:00:00	-21.09	0.00	21.09	removed_from_15687	Signal_Kline_Stop_Loss	NULL	Engulfing_Volume_Confirmed	NULL
